path,true_label,score_bpp,predicted_label
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000000.png,0,0.6112614870071411,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000001.png,0,1.4341427087783813,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000002.png,0,0.45744892954826355,1
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000003.png,0,1.1303248405456543,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000006.png,0,0.8472317457199097,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000008.png,0,1.4842822551727295,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000009.png,0,0.900371253490448,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000011.png,0,0.9366371035575867,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000012.png,0,0.7815529704093933,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000014.png,0,1.8303120136260986,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000015.png,0,1.4515795707702637,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000016.png,0,1.8013944625854492,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000017.png,0,0.8920316696166992,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000020.png,0,1.0602388381958008,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000021.png,0,2.3348968029022217,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000023.png,0,0.2659793794155121,1
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000025.png,0,0.6011963486671448,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000028.png,0,0.8034371137619019,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000031.png,0,2.866621732711792,1
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000032.png,0,2.4117438793182373,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000034.png,0,3.8907175064086914,1
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000035.png,0,0.1969507485628128,1
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000036.png,0,1.7984308004379272,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000037.png,0,1.2283207178115845,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000039.png,0,1.1641035079956055,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000041.png,0,1.3635121583938599,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000042.png,0,0.8240624070167542,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000045.png,0,1.3938665390014648,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000047.png,0,2.3996899127960205,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000051.png,0,1.3849238157272339,0
c:\PersonalStuff\Monash\Sem3\FIT5230MaliciousAI\Assignments\data\val\real\real_val_000052.png,0,1.1051321029663086,0
