"RowIndex","Prediction"
1,-7.0828751770786
2,-25.0937163650651
3,15.6069359857682
4,15.4052463408817
5,2.03077294691633
6,30.9467159592399
7,9.00158374270237
8,7.1508397046169
9,14.7779633139845
10,-0.495427167915069
11,1.41479912334161
12,-18.0974750477503
13,-5.62766158564461
14,32.270392608566
15,4.30893847570974
16,-7.64099996295032
17,0.574925302164713
18,-14.7201244541709
19,-7.49371679744944
20,-14.9586663629827
21,-21.325134798351
22,-8.58779611854795
23,-8.82790473336033
24,16.5984858257159
25,-7.59305522762636
26,6.41737060049468
27,-13.1171604318145
28,-6.76015002157296
29,-0.9917574756246
30,-11.2010475626246
31,4.92242109270904
32,6.95929503204677
33,8.3025262827786
34,-6.42739716931045
35,-5.12493126505918
36,-6.63995089598994
37,9.09122333999217
38,9.9632893347468
39,-14.7364869321799
40,34.5886050251416
41,-18.6424247893691
42,15.5417232879857
43,-17.8003184244008
44,-19.4049588643429
45,4.00560044990771
46,-7.81494124731978
47,5.19015356342114
48,-18.8379131439493
49,-11.2228941260359
50,-5.99352565445392
51,-9.04640954037192
52,17.6994571858461
53,17.5142278049013
54,-6.39374792681539
55,21.1460562198669
56,-25.243588854451
57,-8.07886624729137
58,24.8687885251072
59,0.150383638417814
60,-9.77781156680648
61,14.1015624715025
62,-11.4588795716844
63,-6.76015002157296
64,32.2820859794691
65,-0.939460677776446
66,16.2127069660076
67,28.0714376945391
68,-16.1598721816448
69,8.14552891686144
70,-8.57108594687578
71,30.7459046445797
72,34.4733751502458
73,31.9788778793564
74,-3.95453523262525
75,-3.91751919405466
76,2.69054330569052
77,-7.11169269567856
78,-2.48624635594536
79,-5.82255422467054
80,6.42813768930669
81,-18.0446977863275
82,-1.30966359827485
83,28.0573672139582
84,-3.42464263597327
85,1.14345615754847
86,-10.579565439343
87,-14.9418427423893
88,7.85629547704743
89,-27.7160352531785
90,-15.6712566477567
